Variable_1,Variable_2,Correlation
Ever_Depressive_Disorder,Ever_Depressive_Disorder,1.0
Age_Group,Ever_Depressive_Disorder,-0.099
Sex,Ever_Depressive_Disorder,-0.147
Education_Level,Ever_Depressive_Disorder,-0.022
Income_Level,Ever_Depressive_Disorder,-0.139
Exercise_Past30Days,Ever_Depressive_Disorder,-0.085
Smoked_100_Cigarettes,Ever_Depressive_Disorder,0.097
BMI_Category,Ever_Depressive_Disorder,0.07
General_Health,Ever_Depressive_Disorder,0.205
Poor_Physical_Health_Days,Ever_Depressive_Disorder,0.191
Poor_Mental_Health_Days,Ever_Depressive_Disorder,0.413
Could_Not_Afford_Doctor,Ever_Depressive_Disorder,0.131
Ever_Arthritis,Ever_Depressive_Disorder,0.125
Ever_COPD,Ever_Depressive_Disorder,0.117
Ever_Depressive_Disorder,Age_Group,-0.099
Age_Group,Age_Group,1.0
Sex,Age_Group,-0.039
Education_Level,Age_Group,-0.021
Income_Level,Age_Group,-0.096
Exercise_Past30Days,Age_Group,-0.125
Smoked_100_Cigarettes,Age_Group,0.127
BMI_Category,Age_Group,0.021
General_Health,Age_Group,0.169
Poor_Physical_Health_Days,Age_Group,0.104
Poor_Mental_Health_Days,Age_Group,-0.176
Could_Not_Afford_Doctor,Age_Group,-0.144
Ever_Arthritis,Age_Group,0.368
Ever_COPD,Age_Group,0.151
Ever_Depressive_Disorder,Sex,-0.147
Age_Group,Sex,-0.039
Sex,Sex,1.0
Education_Level,Sex,-0.026
Income_Level,Sex,0.117
Exercise_Past30Days,Sex,0.059
Smoked_100_Cigarettes,Sex,0.074
BMI_Category,Sex,0.056
General_Health,Sex,-0.017
Poor_Physical_Health_Days,Sex,-0.042
Poor_Mental_Health_Days,Sex,-0.105
Could_Not_Afford_Doctor,Sex,-0.034
Ever_Arthritis,Sex,-0.094
Ever_COPD,Sex,-0.03
Ever_Depressive_Disorder,Education_Level,-0.022
Age_Group,Education_Level,-0.021
Sex,Education_Level,-0.026
