Variable,Value,Depression_Rate,Count
General_Health,1.0,10.02,48096
General_Health,2.0,16.38,95466
General_Health,3.0,22.71,80593
General_Health,4.0,34.74,29540
General_Health,5.0,44.53,9021
Income_Level,1.0,37.49,6728
Income_Level,2.0,36.28,7564
Income_Level,3.0,29.98,9984
Income_Level,4.0,27.06,14585
Income_Level,5.0,23.87,31359
Income_Level,6.0,20.67,36245
Income_Level,7.0,18.72,46729
Income_Level,8.0,16.9,38376
Income_Level,9.0,16.33,39043
Income_Level,10.0,14.22,16280
Income_Level,11.0,12.2,15823
BMI_Category,1.0,24.89,3532
BMI_Category,2.0,17.74,74478
BMI_Category,3.0,17.02,93885
BMI_Category,4.0,25.28,90821
Age_Group,1.0,26.3,12451
Age_Group,2.0,26.24,13305
Age_Group,3.0,24.66,16344
Age_Group,4.0,23.87,18581
Age_Group,5.0,22.33,19513
Age_Group,6.0,21.94,18989
Age_Group,7.0,21.4,22226
Age_Group,8.0,21.29,24554
Age_Group,9.0,20.57,27944
Age_Group,10.0,17.89,28654
Age_Group,11.0,16.71,26031
Age_Group,12.0,14.3,16885
Age_Group,13.0,9.62,17239
Sex,0,25.9,135821
Sex,1,14.07,126895
Exercise_Past30Days,0.0,26.74,56075
Exercise_Past30Days,1.0,18.41,206641
Smoked_100_Cigarettes,0.0,16.95,155478
Smoked_100_Cigarettes,1.0,24.88,107238
Ever_Arthritis,0.0,16.7,176776
Ever_Arthritis,1.0,27.37,85940
Ever_COPD,0.0,18.87,243343
Ever_COPD,1.0,36.8,19373
